measure,location,sex,cause,rei,val
Deaths,Central Asia,Female,Maternal disorders,Intimate partner violence,3
Deaths,Central Asia,Both,Maternal disorders,Intimate partner violence,3
Deaths,Central Sub-Saharan Africa,Female,Other infectious diseases,Drug use,3
Deaths,United Kingdom,Male,Other infectious diseases,Child and maternal malnutrition,3
Deaths,Australasia,Female,Interpersonal violence,Low bone mineral density,3
Deaths,Central Europe,Female,Other non-communicable diseases,Child and maternal malnutrition,3
Deaths,Tropical Latin America,Female,Interpersonal violence,Tobacco,3
Deaths,Greece,Female,Transport injuries,Tobacco,3
Deaths,Andean Latin America,Both,Other infectious diseases,Drug use,3
Deaths,Central Europe,Both,Other infectious diseases,Drug use,3
DALYs,Central Sub-Saharan Africa,Female,Interpersonal violence,Tobacco,3
Deaths,High-income Asia Pacific,Male,Other non-communicable diseases,Child and maternal malnutrition,3
Deaths,Greece,Female,HIV/AIDS,Unsafe sex,3
Deaths,Tropical Latin America,Female,Other non-communicable diseases,Child and maternal malnutrition,3
Deaths,High-income North America,Male,Interpersonal violence,Tobacco,3
Deaths,Caribbean,Male,Musculoskeletal disorders,Tobacco,3
Deaths,High-income Asia Pacific,Male,Interpersonal violence,Tobacco,3
DALYs,Greece,Female,Other infectious diseases,Drug use,3
Deaths,Southern Sub-Saharan Africa,Male,Other infectious diseases,Drug use,3
Deaths,Australasia,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,4
Deaths,Central Europe,Male,Interpersonal violence,Tobacco,4
Deaths,Greece,Both,Musculoskeletal disorders,Tobacco,4
Deaths,North Africa and Middle East,Female,Other infectious diseases,Drug use,4
Deaths,Andean Latin America,Female,Unintentional injuries,Tobacco,4
Deaths,Oceania,Female,Transport injuries,Tobacco,4
Deaths,Greece,Both,Interpersonal violence,Low bone mineral density,4
Deaths,Australasia,Male,Other infectious diseases,Drug use,4
Deaths,United Kingdom,Female,Transport injuries,Occupational risks,4
Deaths,Central Asia,Male,Interpersonal violence,Tobacco,4
Deaths,Andean Latin America,Female,Transport injuries,Tobacco,4
Deaths,Greece,Female,Respiratory infections and tuberculosis,Child and maternal malnutrition,4
Deaths,Eastern Europe,Female,Other infectious diseases,Drug use,4
Deaths,High-income Asia Pacific,Both,Other infectious diseases,Child and maternal malnutrition,4
Deaths,Eastern Europe,Female,Maternal disorders,Intimate partner violence,4
Deaths,Eastern Europe,Both,Maternal disorders,Intimate partner violence,4
Deaths,Central Europe,Male,Other non-communicable diseases,Child and maternal malnutrition,4
Deaths,Southern Latin America,Male,Diabetes and kidney diseases,Alcohol use,4
Deaths,Oceania,Both,Interpersonal violence,Low bone mineral density,4
Deaths,Central Latin America,Female,HIV/AIDS,Drug use,4
Deaths,High-income Asia Pacific,Male,Other infectious diseases,Drug use,4
Deaths,Andean Latin America,Male,Musculoskeletal disorders,Tobacco,4
Deaths,Central Asia,Both,Interpersonal violence,Tobacco,4
Deaths,Western Europe,Female,Interpersonal violence,Tobacco,4
Deaths,Caribbean,Male,Other infectious diseases,Drug use,4
Deaths,Australasia,Male,Enteric infections,Child and maternal malnutrition,5
Deaths,Australasia,Both,Other non-communicable diseases,Child and maternal malnutrition,5
Deaths,High-income North America,Female,Interpersonal violence,Tobacco,5
Deaths,Southern Sub-Saharan Africa,Female,Substance use disorders,Childhood maltreatment,5
Deaths,Central Sub-Saharan Africa,Female,Interpersonal violence,Low bone mineral density,5
Deaths,Oceania,Male,Other non-communicable diseases,Child and maternal malnutrition,5
Deaths,Greece,Male,Respiratory infections and tuberculosis,Child and maternal malnutrition,5
Deaths,Greece,Female,Substance use disorders,Alcohol use,5
Deaths,United Kingdom,Female,Unintentional injuries,Occupational risks,5
Deaths,Caribbean,Female,Substance use disorders,Childhood maltreatment,5
Deaths,United Kingdom,Female,Interpersonal violence,Low bone mineral density,5
Deaths,Central Sub-Saharan Africa,Male,Other infectious diseases,Drug use,5
Deaths,Central Europe,Female,Other infectious diseases,Child and maternal malnutrition,5
Deaths,High-income Asia Pacific,Both,Interpersonal violence,Tobacco,5
Deaths,Greece,Female,Interpersonal violence,Alcohol use,5
Deaths,Andean Latin America,Male,Other non-communicable diseases,Child and maternal malnutrition,5
Deaths,North Africa and Middle East,Male,Interpersonal violence,Tobacco,5
Deaths,Southern Latin America,Female,Other infectious diseases,Child and maternal malnutrition,5
Deaths,Central Sub-Saharan Africa,Female,Unintentional injuries,Tobacco,5
Deaths,Central Asia,Male,Other infectious diseases,Drug use,5
Deaths,Greece,Female,Transport injuries,Occupational risks,6
Deaths,Australasia,Both,Other infectious diseases,Drug use,6
Deaths,Greece,Male,Chronic respiratory diseases,High body-mass index,6
Deaths,Australasia,Both,Interpersonal violence,Low bone mineral density,6
Deaths,Andean Latin America,Female,Other non-communicable diseases,Child and maternal malnutrition,6
Deaths,Western Sub-Saharan Africa,Male,Musculoskeletal disorders,Tobacco,6
Deaths,Southern Sub-Saharan Africa,Both,Other infectious diseases,Drug use,6
Deaths,United Kingdom,Female,Enteric infections,Child and maternal malnutrition,6
DALYs,Andean Latin America,Female,Interpersonal violence,Tobacco,6
Deaths,Oceania,Male,HIV/AIDS,Drug use,6
Deaths,Central Europe,Male,Other infectious diseases,Child and maternal malnutrition,6
Deaths,United Kingdom,Both,Other infectious diseases,Child and maternal malnutrition,6
Deaths,Australasia,Female,Unintentional injuries,Occupational risks,6
Deaths,Central Latin America,Female,Interpersonal violence,Tobacco,6
Deaths,Caribbean,Female,Musculoskeletal disorders,Tobacco,6
Deaths,East Asia,Female,Interpersonal violence,Tobacco,6
Deaths,Southern Latin America,Male,Other infectious diseases,Child and maternal malnutrition,6
Deaths,United Kingdom,Female,HIV/AIDS,Drug use,6
Deaths,Southern Sub-Saharan Africa,Female,Musculoskeletal disorders,Tobacco,6
Deaths,High-income Asia Pacific,Both,Other non-communicable diseases,Child and maternal malnutrition,6
Deaths,High-income Asia Pacific,Female,Other infectious diseases,Drug use,6
Deaths,Oceania,Male,Sexually transmitted infections excluding HIV,Unsafe sex,6
Deaths,Southern Latin America,Male,Other infectious diseases,Drug use,6
Deaths,Australasia,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,6
Deaths,North Africa and Middle East,Both,Interpersonal violence,Tobacco,6
Deaths,Central Europe,Both,Interpersonal violence,Tobacco,6
Deaths,Central Asia,Both,Other infectious diseases,Drug use,6
Deaths,Oceania,Female,HIV/AIDS,Drug use,7
Deaths,North Africa and Middle East,Female,Substance use disorders,Childhood maltreatment,7
Deaths,Central Sub-Saharan Africa,Male,Interpersonal violence,Low bone mineral density,7
Deaths,Greece,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,7
Deaths,Central Europe,Female,HIV/AIDS,Intimate partner violence,7
Deaths,Central Europe,Both,HIV/AIDS,Intimate partner violence,7
Deaths,United Kingdom,Female,Other non-communicable diseases,Child and maternal malnutrition,7
Deaths,Australasia,Male,Transport injuries,Tobacco,7
Deaths,Tropical Latin America,Male,Other non-communicable diseases,Child and maternal malnutrition,7
Deaths,Caribbean,Both,Other infectious diseases,Drug use,7
Deaths,Oceania,Female,Diabetes and kidney diseases,Other environmental risks,7
Deaths,Andean Latin America,Both,Musculoskeletal disorders,Tobacco,7
Deaths,Southern Latin America,Female,Maternal disorders,Intimate partner violence,7
Deaths,Southern Latin America,Both,Maternal disorders,Intimate partner violence,7
Deaths,Western Sub-Saharan Africa,Both,Musculoskeletal disorders,Tobacco,7
Deaths,Oceania,Both,Other non-communicable diseases,Child and maternal malnutrition,7
Deaths,Greece,Female,Neurological disorders,Alcohol use,7
Deaths,United Kingdom,Male,Enteric infections,Child and maternal malnutrition,8
DALYs,Greece,Female,Maternal disorders,Intimate partner violence,8
DALYs,Greece,Both,Maternal disorders,Intimate partner violence,8
Deaths,Western Europe,Both,Interpersonal violence,Tobacco,8
Deaths,Western Europe,Female,Other infectious diseases,Drug use,8
Deaths,Central Europe,Both,Other non-communicable diseases,Child and maternal malnutrition,8
Deaths,United Kingdom,Both,Interpersonal violence,Low bone mineral density,8
Deaths,United Kingdom,Female,Transport injuries,Tobacco,8
Deaths,Caribbean,Female,Transport injuries,Tobacco,8
Deaths,Australasia,Both,Enteric infections,Child and maternal malnutrition,8
Deaths,Caribbean,Female,Other non-communicable diseases,Child and maternal malnutrition,8
Deaths,Australasia,Female,Sexually transmitted infections excluding HIV,Unsafe sex,8
Deaths,Andean Latin America,Male,Interpersonal violence,Low bone mineral density,8
Deaths,United Kingdom,Male,Other non-communicable diseases,Child and maternal malnutrition,8
Deaths,World Bank High Income,Female,Maternal disorders,Intimate partner violence,8
Deaths,World Bank High Income,Both,Maternal disorders,Intimate partner violence,8
Deaths,Western Sub-Saharan Africa,Female,Transport injuries,Tobacco,8
Deaths,High-income Asia Pacific,Male,Sexually transmitted infections excluding HIV,Unsafe sex,8
Deaths,Greece,Female,Unintentional injuries,Tobacco,8
Deaths,Central Asia,Female,HIV/AIDS,Intimate partner violence,8
Deaths,Central Asia,Both,HIV/AIDS,Intimate partner violence,8
Deaths,Australasia,Male,Musculoskeletal disorders,Tobacco,8
Deaths,North Africa and Middle East,Female,Musculoskeletal disorders,Tobacco,8
Deaths,Greece,Male,HIV/AIDS,Drug use,8
Deaths,High-income North America,Both,Interpersonal violence,Tobacco,8
Deaths,Oceania,Female,Substance use disorders,Alcohol use,8
Deaths,Oceania,Male,Unintentional injuries,Tobacco,8
Deaths,Southern Latin America,Both,Other infectious diseases,Drug use,8
Deaths,Central Sub-Saharan Africa,Both,Other infectious diseases,Drug use,9
Deaths,Eastern Sub-Saharan Africa,Male,Interpersonal violence,Tobacco,9
Deaths,Caribbean,Male,Other non-communicable diseases,Child and maternal malnutrition,9
Deaths,High-income Asia Pacific,Female,Substance use disorders,Childhood maltreatment,9
Deaths,Greece,Male,Self-harm,Drug use,9
Deaths,Tropical Latin America,Male,Interpersonal violence,Tobacco,9
Deaths,Andean Latin America,Female,Interpersonal violence,Low bone mineral density,9
Deaths,Oceania,Female,Neurological disorders,Alcohol use,9
Deaths,Southern Latin America,Male,Interpersonal violence,Low bone mineral density,9
Deaths,Andean Latin America,Male,Sexually transmitted infections excluding HIV,Unsafe sex,9
Deaths,Oceania,Female,Maternal disorders,Intimate partner violence,9
Deaths,Oceania,Both,Maternal disorders,Intimate partner violence,9
Deaths,United Kingdom,Female,HIV/AIDS,Intimate partner violence,9
Deaths,United Kingdom,Both,HIV/AIDS,Intimate partner violence,9
Deaths,Greece,Both,Respiratory infections and tuberculosis,Child and maternal malnutrition,9
Deaths,Australasia,Both,Sexually transmitted infections excluding HIV,Unsafe sex,9
Deaths,Southern Sub-Saharan Africa,Male,Interpersonal violence,Tobacco,9
Deaths,Greece,Both,Self-harm,Drug use,10
Deaths,Oceania,Female,Cancer,Other environmental risks,10
Deaths,Eastern Europe,Male,Other infectious diseases,Drug use,10
Deaths,Southern Latin America,Female,Substance use disorders,Childhood maltreatment,10
DALYs,Oceania,Female,Other infectious diseases,Drug use,10
Deaths,South Asia,Female,Interpersonal violence,Tobacco,10
DALYs,Greece,Female,Interpersonal violence,Tobacco,10
Deaths,Southern Latin America,Male,Musculoskeletal disorders,Tobacco,10
Deaths,Greece,Both,HIV/AIDS,Drug use,10
Deaths,Caribbean,Both,Musculoskeletal disorders,Tobacco,10
Deaths,Tropical Latin America,Female,Other infectious diseases,Child and maternal malnutrition,10
Deaths,Tropical Latin America,Female,Other infectious diseases,Drug use,10
Deaths,Caribbean,Female,Maternal disorders,Intimate partner violence,10
Deaths,Caribbean,Both,Maternal disorders,Intimate partner violence,10
Deaths,Eastern Sub-Saharan Africa,Both,Interpersonal violence,Tobacco,10
Deaths,Australasia,Both,Transport injuries,Tobacco,10
Deaths,Australasia,Female,Respiratory infections and tuberculosis,Child and maternal malnutrition,10
Deaths,Australasia,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,10
Deaths,High-income Asia Pacific,Female,HIV/AIDS,Intimate partner violence,10
Deaths,High-income Asia Pacific,Both,HIV/AIDS,Intimate partner violence,10
Deaths,Australasia,Female,Substance use disorders,Childhood maltreatment,10
Deaths,Oceania,Male,Cancer,Low physical activity,10
Deaths,High-income North America,Female,Other infectious diseases,Child and maternal malnutrition,11
DALYs,United Kingdom,Male,Cardiovascular diseases,Alcohol use,11
Deaths,Southern Latin America,Female,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,Tropical Latin America,Both,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,Eastern Europe,Female,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,High-income Asia Pacific,Both,Other infectious diseases,Drug use,11
Deaths,Southeast Asia,Male,Interpersonal violence,Tobacco,11
Deaths,Southern Latin America,Male,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,Central Asia,Male,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,Oceania,Both,Unintentional injuries,Tobacco,11
Deaths,Oceania,Both,Diabetes and kidney diseases,Alcohol use,11
Deaths,Central Latin America,Female,Other infectious diseases,Drug use,11
Deaths,Central Asia,Male,Sexually transmitted infections excluding HIV,Unsafe sex,11
Deaths,World Bank Low Income,Male,Interpersonal violence,Tobacco,11
Deaths,Central Asia,Female,Substance use disorders,Childhood maltreatment,11
Deaths,Greece,Male,Transport injuries,Tobacco,11
Deaths,Andean Latin America,Both,Other non-communicable diseases,Child and maternal malnutrition,11
Deaths,Eastern Europe,Female,Interpersonal violence,Tobacco,11
Deaths,Central Sub-Saharan Africa,Male,Musculoskeletal disorders,Tobacco,11
Deaths,Greece,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,11
Deaths,Central Europe,Both,Other infectious diseases,Child and maternal malnutrition,12
Deaths,Andean Latin America,Female,Maternal disorders,Intimate partner violence,12
Deaths,Andean Latin America,Both,Maternal disorders,Intimate partner violence,12
Deaths,Greece,Female,Chronic respiratory diseases,High body-mass index,12
Deaths,Western Europe,Female,Other infectious diseases,Child and maternal malnutrition,12
Deaths,Greece,Male,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",12
Deaths,Central Sub-Saharan Africa,Both,Interpersonal violence,Low bone mineral density,12
Deaths,Southern Sub-Saharan Africa,Female,Other non-communicable diseases,Child and maternal malnutrition,12
Deaths,Southern Latin America,Both,Other infectious diseases,Child and maternal malnutrition,12
Deaths,Greece,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",12
Deaths,Southern Sub-Saharan Africa,Both,Interpersonal violence,Tobacco,12
Deaths,High-income North America,Male,Other infectious diseases,Child and maternal malnutrition,12
Deaths,Australasia,Female,Musculoskeletal disorders,Tobacco,12
Deaths,Eastern Sub-Saharan Africa,Female,Other infectious diseases,Drug use,12
Deaths,Andean Latin America,Female,Substance use disorders,Childhood maltreatment,12
Deaths,Tropical Latin America,Both,Interpersonal violence,Tobacco,12
Deaths,United Kingdom,Female,Maternal disorders,Child and maternal malnutrition,12
Deaths,United Kingdom,Both,Maternal disorders,Child and maternal malnutrition,12
Deaths,Central Latin America,Male,HIV/AIDS,Drug use,12
Deaths,United Kingdom,Male,Transport injuries,Tobacco,13
Deaths,Eastern Europe,Male,Other non-communicable diseases,Child and maternal malnutrition,13
Deaths,Southern Sub-Saharan Africa,Female,Unintentional injuries,Tobacco,13
Deaths,Oceania,Both,HIV/AIDS,Drug use,13
Deaths,Central Latin America,Female,Maternal disorders,Intimate partner violence,13
Deaths,Central Latin America,Both,Maternal disorders,Intimate partner violence,13
Deaths,Southern Latin America,Male,Sexually transmitted infections excluding HIV,Unsafe sex,13
Deaths,Central Asia,Male,Musculoskeletal disorders,Tobacco,13
Deaths,Caribbean,Male,Interpersonal violence,Low bone mineral density,13
Deaths,Australasia,Male,Respiratory infections and tuberculosis,Child and maternal malnutrition,13
Deaths,World Bank Low Income,Both,Interpersonal violence,Tobacco,13
Deaths,Southern Sub-Saharan Africa,Male,Musculoskeletal disorders,Tobacco,13
Deaths,Greece,Male,HIV/AIDS,Unsafe sex,13
Deaths,Andean Latin America,Female,Other infectious diseases,Child and maternal malnutrition,13
Deaths,Andean Latin America,Male,Other infectious diseases,Child and maternal malnutrition,13
Deaths,Central Asia,Female,Other non-communicable diseases,Child and maternal malnutrition,13
Deaths,Western Europe,Male,Other infectious diseases,Child and maternal malnutrition,13
Deaths,United Kingdom,Both,Enteric infections,Child and maternal malnutrition,14
DALYs,Western Sub-Saharan Africa,Female,Interpersonal violence,Tobacco,14
Deaths,World Bank High Income,Female,Interpersonal violence,Tobacco,14
DALYs,Oceania,Female,Interpersonal violence,Tobacco,14
Deaths,Southeast Asia,Both,Interpersonal violence,Tobacco,14
Deaths,Central Sub-Saharan Africa,Both,Musculoskeletal disorders,Tobacco,14
Deaths,Australasia,Female,Transport injuries,Occupational risks,14
Deaths,Oceania,Male,Digestive diseases,High body-mass index,14
Deaths,Southern Latin America,Female,Interpersonal violence,Low bone mineral density,14
Deaths,Eastern Europe,Both,Other infectious diseases,Drug use,14
Deaths,Oceania,Female,Interpersonal violence,Alcohol use,14
Deaths,Central Sub-Saharan Africa,Female,Substance use disorders,Childhood maltreatment,14
DALYs,Greece,Male,Interpersonal violence,Tobacco,14
DALYs,Greece,Male,Other infectious diseases,Drug use,14
Deaths,Western Sub-Saharan Africa,Female,Other infectious diseases,Drug use,14
Deaths,Australasia,Male,Substance use disorders,Childhood maltreatment,15
Deaths,Tropical Latin America,Female,Maternal disorders,Intimate partner violence,15
Deaths,Tropical Latin America,Both,Maternal disorders,Intimate partner violence,15
Deaths,World Bank High Income,Male,Interpersonal violence,Tobacco,15
Deaths,Central Asia,Both,Musculoskeletal disorders,Tobacco,15
Deaths,Oceania,Male,Substance use disorders,Childhood maltreatment,15
Deaths,Greece,Both,Transport injuries,Tobacco,15
Deaths,Central Asia,Male,Interpersonal violence,Low bone mineral density,15
Deaths,Oceania,Female,Digestive diseases,Tobacco,15
Deaths,Caribbean,Female,Interpersonal violence,Low bone mineral density,15
Deaths,Oceania,Both,Substance use disorders,Childhood maltreatment,15
Deaths,Eastern Sub-Saharan Africa,Female,Musculoskeletal disorders,Tobacco,15
Deaths,World Bank Lower Middle Income,Female,Interpersonal violence,Tobacco,15
Deaths,Greece,Female,Self-harm,Alcohol use,15
Deaths,Southeast Asia,Female,Substance use disorders,Childhood maltreatment,16
Deaths,Oceania,Female,Substance use disorders,Drug use,16
Deaths,United Kingdom,Both,Other non-communicable diseases,Child and maternal malnutrition,16
Deaths,Greece,Female,Interpersonal violence,Intimate partner violence,16
Deaths,Greece,Both,Interpersonal violence,Intimate partner violence,16
Deaths,Andean Latin America,Female,HIV/AIDS,Drug use,16
Deaths,Tropical Latin America,Male,Other infectious diseases,Child and maternal malnutrition,16
Deaths,Oceania,Male,Diabetes and kidney diseases,Other environmental risks,16
Deaths,High-income Asia Pacific,Female,Enteric infections,Child and maternal malnutrition,16
Deaths,Southern Sub-Saharan Africa,Female,Transport injuries,Tobacco,16
Deaths,Oceania,Female,Cancer,Drug use,16
Deaths,Western Europe,Male,Other infectious diseases,Drug use,16
Deaths,East Asia,Female,Other non-communicable diseases,Child and maternal malnutrition,16
Deaths,Greece,Female,Digestive diseases,Drug use,16
Deaths,Central Asia,Female,Interpersonal violence,Low bone mineral density,16
Deaths,Central Europe,Female,Maternal disorders,Child and maternal malnutrition,17
Deaths,Central Europe,Both,Maternal disorders,Child and maternal malnutrition,17
DALYs,United Kingdom,Female,Maternal disorders,Intimate partner violence,17
DALYs,United Kingdom,Both,Maternal disorders,Intimate partner violence,17
Deaths,Southern Sub-Saharan Africa,Male,Other non-communicable diseases,Child and maternal malnutrition,17
Deaths,Greece,Both,HIV/AIDS,Unsafe sex,17
Deaths,United Kingdom,Male,HIV/AIDS,Drug use,17
Deaths,Tropical Latin America,Male,Other infectious diseases,Drug use,17
Deaths,Caribbean,Both,Other non-communicable diseases,Child and maternal malnutrition,17
Deaths,Central Latin America,Both,HIV/AIDS,Drug use,17
Deaths,Eastern Europe,Female,Other infectious diseases,Child and maternal malnutrition,17
Deaths,Andean Latin America,Both,Interpersonal violence,Low bone mineral density,17
Deaths,Oceania,Male,Transport injuries,Tobacco,18
Deaths,Greece,Female,Diabetes and kidney diseases,Low physical activity,18
DALYs,Central Asia,Female,Interpersonal violence,Tobacco,18
Deaths,High-income Asia Pacific,Female,Maternal disorders,Child and maternal malnutrition,18
Deaths,High-income Asia Pacific,Both,Maternal disorders,Child and maternal malnutrition,18
Deaths,Greece,Both,Chronic respiratory diseases,High body-mass index,18
Deaths,Oceania,Female,Digestive diseases,High body-mass index,18
Deaths,Greece,Male,Unintentional injuries,Tobacco,18
Deaths,Oceania,Female,Self-harm,Drug use,18
Deaths,Greece,Male,Diabetes and kidney diseases,Low physical activity,18
DALYs,Greece,Female,Other non-communicable diseases,Child and maternal malnutrition,18
Deaths,Southern Latin America,Female,Transport injuries,Tobacco,18
DALYs,Greece,Both,Other infectious diseases,Drug use,18
Deaths,Australasia,Female,HIV/AIDS,Unsafe sex,18
Deaths,East Asia,Female,Substance use disorders,Childhood maltreatment,18
Deaths,Oceania,Female,Unintentional injuries,Occupational risks,18
Deaths,Western Sub-Saharan Africa,Male,Other infectious diseases,Drug use,19
Deaths,Greece,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,19
Deaths,World Bank Low Income,Female,Other infectious diseases,Drug use,19
